282-,-,-,-,-,-
-0.319939,0.017039,0.050015,-0.001726,-0.004814,-0.004339
-0.327357,0.019460,0.054265,-0.001035,-0.005754,-0.004409
-0.335404,0.021118,0.056681,0.000306,-0.006310,-0.004105
-0.344113,0.021874,0.056964,0.002179,-0.006472,-0.003267
-0.353234,0.021614,0.055194,0.004362,-0.006314,-0.001819
-0.362457,0.020211,0.051557,0.006578,-0.006039,0.000190
-0.371405,0.017564,0.046537,0.008510,-0.005977,0.002620
-0.379475,0.013771,0.041186,0.009846,-0.006512,0.005313
-,-,-,-,-,-
-0.006881,-0.000047,0.000707,0.000126,-0.000341,0.000316
-0.039338,-0.000247,0.004182,0.000722,-0.002021,0.001892
-0.107909,-0.000611,0.011944,0.001987,-0.005779,0.005492
-0.197334,-0.001094,0.022967,0.003687,-0.011016,0.010781
-0.280958,-0.001881,0.034822,0.005418,-0.016237,0.016748
-0.340130,-0.003405,0.045352,0.006862,-0.020051,0.022499
-0.369363,-0.006029,0.053140,0.007819,-0.021685,0.027541
-0.373328,-0.009658,0.057749,0.008219,-0.021151,0.031770
-0.361283,-0.013613,0.059770,0.008107,-0.019105,0.035363
-0.342303,-0.016901,0.060313,0.007650,-0.016443,0.038586
-0.322453,-0.018665,0.060299,0.007138,-0.013899,0.041596
-0.304414,-0.018517,0.060261,0.006897,-0.011853,0.044387
-0.288644,-0.016572,0.060493,0.007184,-0.010331,0.046879
-0.274670,-0.013363,0.060912,0.008062,-0.009102,0.049040
-0.261892,-0.009534,0.060994,0.009355,-0.007823,0.050954
-0.249772,-0.005447,0.060135,0.010747,-0.006226,0.052738
-0.237476,-0.001186,0.057919,0.011950,-0.004256,0.054407
-0.224033,0.003226,0.054270,0.012790,-0.002109,0.055840
-0.209300,0.007582,0.049680,0.013195,-0.000154,0.056826
-0.194138,0.011403,0.045138,0.013139,0.001257,0.057130
-0.179498,0.014390,0.041542,0.012635,0.001985,0.056579
-0.165821,0.016951,0.039237,0.011749,0.002144,0.055124
-0.153143,0.019892,0.038060,0.010603,0.001996,0.052860
-0.141476,0.023628,0.037563,0.009348,0.001819,0.049998
-0.131030,0.027851,0.037343,0.008115,0.001817,0.046766
-0.122186,0.031837,0.037252,0.006984,0.002067,0.043334
-0.115284,0.035009,0.037298,0.005971,0.002535,0.039800
-0.110409,0.037262,0.037533,0.005057,0.003114,0.036213
-0.107368,0.038829,0.038027,0.004233,0.003702,0.032603
-0.105783,0.039987,0.038778,0.003526,0.004246,0.028979
-0.105179,0.040974,0.039636,0.002978,0.004710,0.025333
-0.104997,0.042058,0.040377,0.002623,0.005021,0.021608
-0.104652,0.043480,0.040881,0.002490,0.005081,0.017744
-0.103650,0.045255,0.041188,0.002583,0.004874,0.013811
-0.101668,0.047160,0.041378,0.002881,0.004525,0.009992
-0.098575,0.048943,0.041488,0.003329,0.004279,0.006453
-0.094447,0.050481,0.041457,0.003845,0.004417,0.003260
-0.089635,0.051693,0.041063,0.004321,0.005133,0.000361
-0.084753,0.052417,0.040017,0.004629,0.006456,-0.002404
-0.080481,0.052494,0.038158,0.004650,0.008211,-0.005270
-0.077439,0.051908,0.035561,0.004307,0.010036,-0.008512
-0.076321,0.050730,0.032527,0.003602,0.011506,-0.012380
-0.078023,0.048934,0.029450,0.002616,0.012275,-0.017026
-0.083429,0.046358,0.026672,0.001469,0.012153,-0.022456
-0.093019,0.042939,0.024460,0.000272,0.011095,-0.028523
-0.106442,0.039051,0.022980,-0.000878,0.009188,-0.034921
-0.122510,0.035394,0.022252,-0.001904,0.006607,-0.041252
-0.139633,0.032461,0.022175,-0.002759,0.003590,-0.047127
-0.156156,0.030244,0.022592,-0.003438,0.000503,-0.052181
-0.170895,0.028334,0.023390,-0.003994,-0.002193,-0.056158
-0.183611,0.026256,0.024588,-0.004553,-0.004116,-0.059013
-0.194939,0.023789,0.026338,-0.005282,-0.005059,-0.060895
-0.205884,0.020983,0.028852,-0.006298,-0.005011,-0.062038
-0.217251,0.018040,0.032287,-0.007598,-0.004111,-0.062660
-0.229419,0.015271,0.036485,-0.009022,-0.002580,-0.062925
-0.242517,0.012858,0.040901,-0.010289,-0.000660,-0.062938
-0.256920,0.010523,0.044987,-0.011115,0.001414,-0.062767
-0.273396,0.007909,0.048836,-0.011317,0.003423,-0.062437
-0.292399,0.004846,0.052779,-0.010892,0.005204,-0.061845
-0.313826,0.000715,0.055926,-0.010117,0.006657,-0.060680
-0.337080,-0.004342,0.056624,-0.009552,0.007721,-0.058543
-0.360617,-0.007557,0.054479,-0.009702,0.008358,-0.055203
-0.382276,-0.005647,0.050722,-0.010462,0.008535,-0.050842
-0.400520,0.001416,0.047067,-0.011061,0.008227,-0.046100
-0.415555,0.010173,0.044938,-0.010660,0.007470,-0.041713
-0.429662,0.016694,0.045213,-0.009040,0.006482,-0.037904
-0.445861,0.019170,0.047748,-0.006803,0.005704,-0.034133
-0.464834,0.018610,0.051448,-0.004789,0.005567,-0.029632
-0.483711,0.017611,0.055041,-0.003330,0.006170,-0.024106
-0.498829,0.018004,0.057449,-0.002154,0.007183,-0.017839
-0.508247,0.019887,0.057892,-0.000816,0.008029,-0.011411
-0.511643,0.022525,0.056137,0.000900,0.008187,-0.005366
-0.509538,0.025145,0.052633,0.002896,0.007389,-0.000006
-0.502943,0.027027,0.048327,0.004894,0.005692,0.004646
-0.493026,0.027788,0.044391,0.006588,0.003439,0.008792
-0.480953,0.027772,0.041890,0.007810,0.001152,0.012769
-0.467609,0.027659,0.041203,0.008665,-0.000636,0.016973
-0.453309,0.027714,0.041585,0.009437,-0.001610,0.021663
-0.438245,0.027580,0.041582,0.010315,-0.001889,0.026707
-0.422874,0.026585,0.040041,0.011247,-0.001997,0.031663
-0.407664,0.024274,0.036887,0.012018,-0.002563,0.036046
-0.392605,0.020821,0.033282,0.012412,-0.004015,0.039488
-0.377251,0.016764,0.030898,0.012343,-0.006404,0.041863
-0.361424,0.012451,0.030815,0.011865,-0.009418,0.043331
-0.345434,0.008185,0.033060,0.011110,-0.012560,0.044236
-0.329656,0.004557,0.036957,0.010263,-0.015350,0.044931
-0.314309,0.002144,0.041649,0.009542,-0.017477,0.045666
-0.299506,0.000995,0.046366,0.009155,-0.018835,0.046558
-0.285388,0.000471,0.050413,0.009232,-0.019451,0.047657
-0.272147,-0.000300,0.053186,0.009726,-0.019375,0.049020
-0.259642,-0.001571,0.054433,0.010397,-0.018627,0.050682
-0.246967,-0.002792,0.054364,0.010931,-0.017158,0.052612
-0.232984,-0.003365,0.053458,0.011127,-0.014937,0.054676
-0.217522,-0.003223,0.052233,0.010964,-0.012100,0.056618
-0.201485,-0.002602,0.051080,0.010509,-0.008938,0.058150
-0.185881,-0.001598,0.050195,0.009839,-0.005791,0.059077
-0.171247,-0.000081,0.049549,0.009030,-0.002997,0.059310
